,name,asset_url,repo_url,stars,godot_version,last_updated
990,2D Kinematic Character Demo,https://godotengine.org/asset-library/asset/113,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
981,3D in 2D Demo,https://godotengine.org/asset-library/asset/128,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
1001,GUI Input Mapping Demo,https://godotengine.org/asset-library/asset/131,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
1002,Plugins Demo,https://godotengine.org/asset-library/asset/585,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
1003,Matrix Transform Demo,https://godotengine.org/asset-library/asset/584,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
1004,2.5D Demo,https://godotengine.org/asset-library/asset/583,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
962,Saving and Loading (Serialization),https://godotengine.org/asset-library/asset/891,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
1005,Audio BPM Sync Demo,https://godotengine.org/asset-library/asset/581,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
961,Control Gallery,https://godotengine.org/asset-library/asset/890,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
987,2D Lights and Shadows Demo,https://godotengine.org/asset-library/asset/116,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
960,3D Waypoints Demo,https://godotengine.org/asset-library/asset/889,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
959,2D Bullet Shower Demo,https://godotengine.org/asset-library/asset/887,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
958,2D Physics Tests Demo,https://godotengine.org/asset-library/asset/888,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
957,Tween Demo,https://godotengine.org/asset-library/asset/146,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
1013,Audio Generator Demo,https://godotengine.org/asset-library/asset/526,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
956,SDF Font Demo,https://godotengine.org/asset-library/asset/521,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
1006,Multiple Threads Loading Demo,https://godotengine.org/asset-library/asset/582,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
977,Pause Demo,https://godotengine.org/asset-library/asset/147,https://github.com/godotengine/godot-demo-projects,4500,3.5, 2023-01-23
